Site.Name.Code,Site.Name.Database,Site.Name,Site.Name.Short,Site.Type,Site.Country,Site.Continent,SiteNamePretty
CAX,CaxiuanÃ£,Caxiuanã,Caxiuanã,I,BRA,LA,Brazil 1
MAS,Manaus,Manaus,Manaus,II,BRA,LA,Brazil 2
VB,VolcÃ¡n Barva,Volcán Barva,Volcán Barva,III,CRI,LA,Costa Rica
YAS,Yasuni,Yasuni,Yasuni,I,ECU,LA,Ecuador
BBS,Bukit Barisan,Bukit Barisan,Bukit Barisan,II,PAN,LA,Panama
COU,Cocha Cashu - Manu National Park,Cocha Cashu - Manu National Park,Cocha Cashu - Manu,I,PER,LA,Peru 1
YAN,Yanachaga ChimillÃ©n National Park,Yanachaga Chimillén National Park,Yanachaga Chimillén,I,PER,LA,Peru 2
CSN,Central Suriname Nature Reserve,Central Suriname Nature Reserve,Central Suriname,I,SUR,LA,Surinam
KRP,Korup National Park,Korup National Park,Korup,II,CMR,AF,Cameroon
NNN,NouabalÃ© Ndoki,Nouabalé Ndoki,Nouabalé Ndoki,I,COG,AF,Congo Republic
RNF,Ranomafana,Ranomafana,Ranomafana,III,MDG,AF,Madagascar
UDZ,Udzungwa,Udzungwa,Udzungwa,II,TZA,AF,Tanzania
BIF,Bwindi Impenetrable Forest,Bwindi Impenetrable Forest,Bwindi,III,UGA,AF,Uganda
BCI,Barro Colorado Nature Monument - Soberania National Park,Barro Colorado Nature Monument - Soberania National Park,Barro Colorado - Soberania,II/III,IDN,AS,Indonesia
NAK,Nam Kading,Nam Kading,Nam Kading,III,LAO,AS,Laos
PSH,Pasoh Forest Reserve,Pasoh Forest Reserve,Pasoh,III,MYS,AS,Malaysia
